Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Jonsson_etal	2004	ocean	Sub-basin	water	Baltic_Sea	825
Jonsson_etal	2004	ocean	Sub-basin	water	Baltic_Sea	15
Jonsson_etal	2004	ocean	Sub-basin	water	Baltic_Sea	115
Kjellin_etal_	2007	WWT	Artificial_sewage_water_treatment_wetland_pond	water	Sweden	4.18
Worman_Kronnas	2005	WWT	Artificial_sewage_water_treatment_wetland_pond	water	Sweden	3.95
Worman_Kronnas	2005	WWT	Artificial_sewage_water_treatment_wetland_pond	water	Sweden	10.4
Worman_Kronnas	2005	WWT	Artificial_sewage_water_treatment_wetland_pond	water	Sweden	6.19
Cooper	1994	wetland	Swamp	water		10.9
Cooper	1994	wetland	Pond	water		2.2
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	10.43
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	8.95
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	9.19
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	9.73
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	10.54
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	24.55
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	12.61
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	6.6
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	6.99
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	8.2
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	6.36
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	7.35
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	12.45
Kadlec	1994	WWT	Artificial_experimental_clean_river_water	water	Illinois	13.4
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	1.8
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	2.3
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	2.4
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	2.1
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	1.5
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	0.9
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	2.1
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	2.2
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	2.1
Stairs	1993	WWT	Artificial_pulp_mill_waste	water	Oregon	1.4
Green_Martin	1996	WWT	Artificial_reed_bed_stormwater_waste_water_overflow	water	England	0.36
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	90
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	14
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	10
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	7
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	7
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	16
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	2
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	12
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	6
Josefson_Rasmussen	2000	estuary	shallow_microtidal_basins	water	Denmark	12
